index,mfg,racket,headsize,length,weight,balance,swingweight,flex,acor,sweet,twistweight,vibration,pcode,rccode,units,changed,current
797,Tecnifibre,TFlash 285 CES,100,27.0,303,34.0,309,72,40,15,14.7,172,TF85C,RCTFUSA,,racquetA,x
798,Tecnifibre,TFight 320 (16x20),97,27.0,337,31.1,312,64,38,12,11.1,145,T32016,RCTFUSA,,racquetA,
799,Tecnifibre,TFight 335 MP (18x20),97,27.0,326,33.0,316,63,41,15,11.3,143,T33518,RCTFUSA,,racquetA,
800,Tecnifibre,TFlash 315 ATP,100,27.0,327,32.1,306,73,40,15,14.0,175,315ATP,RCTFUSA,,racquetA,
801,Tecnifibre,TFight 315 Ltd. 16 Main,98,27.0,328,32.0,298,61,38,13,13.4,137,315L16,RCTFUSA,,racquetA,
802,Tecnifibre,TFlash 315 Dynacore ATP,100,27.0,333,32.5,322,72,41,17,15.2,160,315DATP,RCTFUSA,,racquetA,
803,Tecnifibre,TFlash 270 CES,100,27.0,289,34.3,309,72,40,15,14.5,170,TF27C,RCTFUSA,,racquetA,x
804,Tecnifibre,TFight ISO 295,100,27.0,312,33.5,324,70,41,17,15.1,161,ISO295,RCTFUSA,,racquetA,x
805,Tecnifibre,TFlash 290,100,27.0,309,33.7,322,68,40,15,12.5,155,T290,RCTFUSA,,racquetA,
806,Tecnifibre,TFight 320 VO2 Max,95,27.0,335,32.4,327,66,40,14,11.7,150,320VO2,RCTRUSA,,racquetA,
807,Tecnifibre,TRebound 298 IGA,98,27.0,312,33.0,319,71,41,16,15.0,159,TREBIG,RCTFUSA,,racquetA,x
808,Tecnifibre,TFight ISO 305,98,27.0,320,33.3,335,64,42,18,15.0,141,ISO305,RCTFUSA,,racquetA,x
809,Tecnifibre,TRebound 295 Pro,105,27.0,316,33.7,326,71,42,17,15.1,154,TFR295,RCTFUSA,,racquetA,
810,Tecnifibre,TRebound 265 Pro,105,27.0,288,34.9,312,71,40,17,17.2,172,TFR265,RCTFUSA,,racquetA,
811,Tecnifibre,TFlash 315 VO2 Max,100,27.0,329,32.1,322,61,39,14,12.1,138,315VO2,RCTFUSA,,racquetA,
812,Volkl,C10 Pro 2012,98,27.0,347,31.6,331,65,42,17,14.2,134,C10P12,RCVOLKL,,racquetA,
813,Volkl,DNX 1 Power Arm,115,27.8,261,36.8,304,68,39,14,13.9,155,VDNX1,RCVOLKL,,racquetA,
814,Volkl,DNX 10 Mid,93,27.0,338,32.2,321,58,40,14,12.2,132,DNX10M,RCVOLKL,,racquetA,
815,Volkl,DNX 6 Ativa,100,27.0,281,34.3,304,64,38,13,13.6,145,VDNX6,RCVOLKL,,racquetA,
816,Volkl,DNX 3,110,27.75,286,33.9,322,68,40,16,16.9,155,VDNX3,RCFVOLKL,,racquetA,
817,Volkl,Organix 10 (325),98,27.0,338,31.9,308,66,39,14,13.7,151,ORG10H,RCVOLKL,,racquetA,
818,Volkl,DNX 2 Ativa OS,110,27.3,281,33.6,300,70,38,13,16.5,159,VDNX2,RCVOLKL,,racquetA,
819,Volkl,Organix 10 (295g),98,27.0,319,33.4,319,64,41,15,13.4,143,VORG10,RCVOLKL,,racquetA,
820,Volkl,DNX 4,105,27.6,290,33.7,301,65,38,14,13.4,148,VDNX4,RCVOLKL,,racquetA,
821,Volkl,Power Bridge 1,115,27.8,270,36.5,318,70,40,16,14.4,179,VPB1,RCVOLKL,,racquetA,
822,Volkl,DNX 7,100,27.0,286,33.6,301,67,37,11,12.8,152,VDNX7,RCVOLKL,,racquetA,
823,Volkl,Power Bridge 10 Mid,93,27.0,352,31.5,332,61,41,15,11.2,135,VPB10M,RCVOLKL,,racquetA,
824,Volkl,Power Bridge 10,98,27.0,340,32.1,322,64,39,14,12.4,145,VPB10,RCVOLKL,,racquetA,
825,Volkl,Organix 1,115,27.8,280,37.1,325,70,42,18,16.3,175,VORG1,RCVOLKL,,racquetA,
826,Volkl,BB1 OS,112,27.25,272,36.2,314,66,39,15,15.2,150,VBB1,RCVOLKL,,racquetA,
827,Volkl,Organix 10 Mid,93,27.0,337,32.0,320,59,41,18,13.7,130,VO10M,RCVOLKL,,racquetA,
828,Volkl,Organix 5,100,27.25,275,34.5,296,70,38,13,13.3,164,VORG5,RCVOLKL,,racquetA,
829,Volkl,Organix 4,105,27.6,295,33.9,306,67,39,15,15.1,155,VORG4,RCVOLKL,,racquetA,
830,Volkl,Becker BB 10,100,27.6,306,33.7,309,65,40,16,13.0,148,BB10,RCVOLKL,,racquetA,
831,Volkl,Organix 7 (310),104,27.3,326,33.6,327,74,42,17,15.4,164,VORG73,RCVOLKL,,racquetA,
832,Volkl,Organix 4 Super G,105,27.6,284,34.0,306,66,39,15,14.8,157,VO4SG,RCVOLKL,,racquetA,
833,Volkl,Power Bridge 8 315,100,27.0,323,32.0,301,72,39,13,11.8,170,VPB8H,RCVOLKL,,racquetA,
834,Volkl,Organix 9,98,27.0,321,32.1,303,68,39,14,13.7,158,VORG9,RCVOLKL,,racquetA,
835,Volkl,Organix 7 (295),104,27.0,317,34.0,320,74,41,17,15.8,169,VORG72,RCVOLKL,,racquetA,
836,Volkl,Organix V1 MP,102,27.0,299,33.8,302,68,39,14,14.0,159,VOV1M,RCVOLKL,,racquetA,
837,Volkl,Power Bridge 6 Attiva MP,100,27.0,280,34.2,305,65,38,13,13.6,152,VPB6,RCVOLKL,,racquetA,
838,Volkl,Power Bridge 3,110,27.8,288,35.5,334,68,42,19,17.9,163,VPB3,RCVOLKL,,racquetA,
839,Volkl,DNX 9,98,27.0,326,32.0,313,65,40,15,12.6,148,VDNX9,RCVOLKL,,racquetA,
840,Volkl,Power Bridge 9,98,27.0,315,32.2,300,68,37,11,10.6,157,VPB9,RCVOLKL,,racquetA,
841,Volkl,Becker BB5,105,27.0,275,34.3,287,64,36,10,13.5,145,VBB5,RCVOLKL,,racquetA,
842,Volkl,Power Bridge 5,102,27.0,302,33.2,303,68,38,12,10.9,158,VPB5,RCVOLKL,,racquetA,
843,Volkl,Power Bridge V1 Midplus,102,27.0,291,33.2,294,68,37,13,11.5,163,VPBV1,RCVOLKL,,racquetA,
844,Volkl,Catapult 8 V-Engine,100,27.3,301,33.1,305,63,38,13,15.0,143,CAT8V,RCVOLKL,,racquetA,
845,Volkl,C10 EVO,98,27.0,323,33.0,319,63,41,16,13.5,144,C10EVO,RCVOLKL,,racquetA,x
846,Volkl,Classic C10 Pro,98,27.0,346,31.7,326,64,41,16,12.3,137,C10P10,RCVOLKL,,racquetA,
847,Volkl,Organix 8 315g,100,27.0,331,32.5,318,73,41,16,14.9,171,VORG82,RCVOLKL,,racquetA,
848,Volkl,Organix V1 Pro Midplus,99.5,27.0,314,33.7,319,68,41,16,14.5,152,OV1PRO,RCVOLKL,,racquetA,
849,Volkl,DNX 8,100,27.0,302,32.4,294,69,37,12,11.9,157,VDNX8,RCVOLKL,,racquetA,
850,Volkl,Power Bridge 8,100,27.0,312,33.0,320,68,39,14,12.6,155,VPB8,RCVOLKL,,racquetA,
851,Volkl,Super G 1,115,27.8,272,36.3,314,72,40,14,14.8,175,VSG1,RCVOLKL,,racquetA,
852,Volkl,C10 Pro,98,27.0,343,31.1,338,63,41,16,13.5,143,C10PRO,RCVOLKL,,racquetA,
853,Volkl,Power Bridge 4,105,27.6,288,34.0,311,64,38,14,9.6,148,VPB4,RCVOLKL,,racquetA,
854,Volkl,Super G 10 325,98,27.0,341,32.6,330,68,42,17,15.0,152,VSG103,RCVOLKL,,racquetA,
855,Volkl,Power Bridge 2,115,27.6,281,35.6,323,71,40,16,17.1,170,VPB2,RCVOLKL,,racquetA,
856,Volkl,Super G 6,100,27.0,286,34.3,300,68,39,14,14.1,157,VO6SG,RCVOLKL,,racquetA,
857,Volkl,Super G 5,100,27.0,283,35.0,307,70,40,15,14.0,170,VSG5,RCVOLKL,,racquetA,
858,Volkl,Organix V1 OS,110,27.6,295,34.0,306,68,39,14,14.3,156,VOV1OS,RCVOLKL,,racquetA,
859,Volkl,Super G 9,98,27.0,331,32.9,315,71,40,16,15.5,160,VO9SG,RCVOLKL,,racquetA,
860,Volkl,Super G 10 Mid (330g),96,27.0,345,31.5,324,66,41,17,14.3,141,S10330,RCVOLKL,,racquetA,
861,Volkl,Super G 3,110,27.8,285,35.3,320,67,41,17,16.8,166,VSG3,RCVOLKL,,racquetA,
862,Volkl,Super G 10 295,98,27.0,312,34.1,323,66,41,17,14.3,148,VSG102,RCVOLKL,,racquetA,
863,Volkl,Super G 10 Mid (320g),96,27.0,331,32.3,315,71,40,15,13.3,161,S10320,RCVOLKL,,racquetA,
864,Volkl,Power Bridge 7,107,27.3,296,34.2,309,67,39,14,14.3,152,VPB7,RCVOLKL,,racquetA,
865,Volkl,V-Cell 10 300g,98,27.0,315,33.5,311,69,40,15,14.1,151,VCE100,RCVOLKL,,racquetA,x
866,Volkl,Super G V1 Pro,100,27.0,311,33.6,317,68,40,16,14.3,152,SGV1P,RCVOLKL,,racquetA,
867,Volkl,Power Bridge V1 Oversize,110,27.6,294,34.0,313,68,39,14,14.0,163,PBV1OS,RCVOLKL,,racquetA,
868,Volkl,Quantum Scorcher,102,27.0,287,32.7,286,63,36,10,10.9,147,VQS,RCVOLKL,,racquetA,
869,Volkl,Super G 8 (315g),100,27.0,326,32.9,316,73,41,16,14.7,174,VO8SG2,RCVOLKL,,racquetA,
870,Volkl,Super G V1 Oversize,110,27.6,301,34.1,310,68,40,14,15.1,162,VSGV1O,RCVOLKL,,racquetA,
871,Volkl,V-Cell 10 320g,98,27.0,335,32.0,319,67,41,16,13.7,146,VCE102,RCVOLKL,,racquetA,x
872,Volkl,V-Feel 8 315g,100,27.0,329,32.4,319,69,41,16,14.1,149,VF8315,RCVOLKL,,racquetA,x
873,Volkl,V-Sense 10 Mid,96,27.0,330,32.8,320,65,41,16,14.0,145,VSM,RCVOLKL,,racquetA,x
874,Volkl,V-Cell 9,100,27.0,326,32.5,317,68,41,16,14.6,159,VVCEL9,RCVOLKL,,racquetA,x
875,Volkl,Tour 9 V-Engine (18x20),98,27.0,326,31.1,304,63,37,11,12.9,143,T9V,RCVOLKL,,racquetA,
876,Volkl,Super G 7,104,27.0,318,33.3,319,73,41,14,15.0,162,VSG7,RCVOLKL,,racquetA,
877,Volkl,V-Sense 5,100,27.0,276,33.5,281,70,36,10,12.5,164,VS5,RCVOLKL,,racquetA,x
878,Volkl,V-Cell 6,100,27.0,289,33.8,303,69,39,14,13.4,164,VVCEL6,RCVOLKL,,racquetA,x
879,Volkl,Tour 10 V-Engine Mid,93,27.0,337,30.9,315,60,39,13,11.6,136,T10V,RCVOLKL,,racquetA,
880,Volkl,V-Feel 8 285g,100,27.0,303,33.5,310,70,40,15,13.3,159,VF8285,RCVOLKL,,racquetA,x
881,Volkl,V-Feel V8 Pro,100,27.0,318,32.2,316,67,40,16,14.4,146,VKLV8,RCVOLKL,,racquetA,x
882,Volkl,Team Tour,100,27.0,293,34.1,306,64,39,14,13.3,146,VTTR,RCVOLKL,,racquetA,
883,Volkl,Super G V1 Midplus,102,27.0,298,33.7,308,67,40,13,14.4,163,VSGV1M,RCVOLKL,,racquetA,
884,Volkl,V-Sense 1,115,27.8,276,36.3,308,71,40,15,15.4,180,VS1,RCVOLKL,,racquetA,x
885,Volkl,V-Sense 8 300g,100,27.0,309,33.0,314,71,40,15,13.4,162,VS8300,RCVOLKL,,racquetA,
886,Volkl,V-Cell 8 (285g),100,27.0,298,33.0,303,70,39,14,13.2,162,VVC8UL,RCVOLKL,,racquetA,x
887,Volkl,Tour Scorcher,100,27.0,282,35.1,298,64,38,13,13.1,148,VTS,RCVOLKL,,racquetA,
888,Volkl,V-Sense 8 285g,100,27.0,296,33.4,300,71,39,13,13.1,164,VS8285,RCVOLKL,,racquetA,x
889,Volkl,V-Cell 8 (315g),100,27.0,326,32.0,315,66,40,16,14.4,148,VVCL8,RCVOLKL,,racquetA,x
890,Volkl,V-Feel 6,100,27.0,292,34.0,307,70,40,14,13.4,162,VF6,RCVOLKL,,racquetA,x
891,Volkl,V-Feel V1 Pro,99,27.0,320,33.5,323,69,41,17,14.8,154,VF1PRO,RCVOLKL,,racquetA,x
892,Volkl,V-Cell V1 Pro,100,27.0,315,33.0,316,68,40,16,14.1,151,VCEV1P,RCVOLKL,,racquetA,x
893,Volkl,V-Cell 8 (300g),100,27.0,312,32.6,312,67,40,15,13.2,165,VVC8L,RCVOLKL,,racquetA,x
894,Volkl,V-Feel 8 300g,100,27.0,315,33.0,315,70,40,16,13.6,154,VF8300,RCVOLKL,,racquetA,x
895,Volkl,V-Sense 10 325g,98,27.0,337,31.5,321,64,41,16,14.9,143,VS10,RCVOLKL,,racquetA,x
896,Volkl,V1 Classic,102,27.0,295,33.1,316,69,40,15,13.3,157,CV1SVR,RCVOLKL,,racquetA,
897,Volkl,V-Sense 9,98,27.0,327,32.1,310,66,40,14,14.4,149,VS9,RCVOLKL,,racquetA,x
898,Volkl,V-Feel 10 (300g),98,27.0,318,33.5,312,69,40,15,14.2,158,VF10L,RCVOLKL,,racquetA,x
899,Volkl,V-Feel 5,100,27.0,278,34.0,296,69,38,13,13.0,167,VF5,RCVOLKL,,racquetA,x
900,Volkl,Super G 8 (300g),100,27.0,310,33.2,311,70,40,15,13.7,161,VO8SG,RCVOLKL,,racquetA,
901,Volkl,V-Sense 10 295g,98,27.0,308,33.8,313,68,40,15,14.6,153,VS10L,RCVOLKL,,racquetA,x
902,Volkl,V-Feel V1 MP,102,27.0,301,33.3,307,68,40,15,14.8,162,VF1MP,RCVOLKKL,,racquetA,x
903,Volkl,V-Sense V1 MP,102,27.0,300,33.1,298,67,38,14,14.6,154,VSV1MP,RCVOLKL,,racquetA,x
904,Volkl,V-Sense V1 OS,110,27.6,296,34.0,311,68,40,15,14.8,159,VSV1OS,RCVOLKL,,racquetA,x
905,Volkl,V-Sense 4,105,27.6,285,34.0,303,69,39,14,15.2,164,VS4,RCVOLKL,,racquetA,
906,Volkl,V-Sense 8 315g,100,27.0,328,32.5,324,67,41,16,14.7,147,VS8315,RCVOLKL,,racquetA,
907,Volkl,V-Feel 9,100,27.0,326,33.0,323,74,42,17,14.4,170,VF9,RCVOLKL,,racquetA,x
908,Volkl,V-Sense 10 Tour,98,27.0,324,33.5,325,66,42,17,14.3,166,VST,RCVOLKL,,racquetA,x
909,Volkl,V-Feel 1,115,27.8,272,36.6,313,70,40,16,15.2,182,VF1,RCVOLKL,,racquetA,x
910,Volkl,V-Feel V1 OS,110,27.6,303,33.5,312,68,40,16,15.0,161,VF1OS,RCVOLKL,,racquetA,x
911,Volkl,V-Sense 2,115,27.6,284,35.5,316,69,41,17,17.2,166,VS2,RCVOLKL,,racquetA,x
912,Volkl,V-Sense 6,100,27.0,289,34.3,307,71,40,14,13.4,160,VS6,RCVOLKL,,racquetA,x
913,Volkl,V-Feel 10 (320g),98,27.0,337,32.5,323,66,41,17,14.7,147,VF10H,RCVOLKL,,racquetA,x
914,Volkl,V-Feel 4,105,27.6,292,33.5,305,69,39,15,15.2,166,VF4,RCVOLKL,,racquetA,x
915,Volkl,V-Cell 4,105,27.6,289,33.5,304,68,39,15,15.3,160,VVC4R,RCVOLKL,,racquetA,x
916,Volkl,V-Sense V1 Pro,100,27.0,312,33.0,308,69,40,15,14.6,149,VSV1P,RCVOLKL,,racquetA,
917,Wilson,BLX Pro Team FX,103,27.25,300,34.3,330,68,40,16,13.0,157,PTFBLX,RCWILSON,,racquetA,
918,Wilson,BLX Blade Tour,93,27.0,341,32.2,331,68,40,14,12.5,149,WBLXBT,RCWILSON,,racquetA,
919,Wilson,BLX Blade 98,98,27.0,319,33.5,332,66,40,15,13.7,144,BLXB98,RCWILSON,,racquetA,
920,Wilson,BLX Tidal Force,105,27.25,285,33.8,298,70,38,12,11.8,155,WBLXTF,RCWILSON,,racquetA,
921,Wilson,BLX Tour Lite,103,26.75,266,34.9,276,70,36,10,13.6,172,BLXTLT,RCWILSON,,racquetA,
922,Wilson,BLX Tour Limited,95,27.5,306,33.3,322,73,41,16,13.8,167,WBLXTL,RCWIILSON,,racquetA,
923,Wilson,BLX Bold,100,27.0,280,33.5,279,49,36,9,12.6,128,WBLXB,RCWILSON,,racquetA,
924,Wilson,Blade 104 (2015),104,27.0,306,33.5,314,58,40,16,15.1,135,B104,RCWILSON,,racquetA,
925,Wilson,BLX Blade Team,104,27.25,302,33.5,307,55,39,13,13.7,128,WBXBTE,RCWILSON,,racquetA,
926,Wilson,BLX Juice Pro,96,27.25,341,31.9,336,66,42,17,13.8,142,WJP,RCWILSON,,racquetA,
927,Wilson,BLX Pro Lite,102,27.0,274,35.0,304,72,39,15,14.3,170,WPLB,RCWILSON,,racquetA,
928,Wilson,BLX Cierzo Two,120,27.9,278,38.2,350,74,43,22,20.9,190,WCTBLX,RCWILSON,,racquetA,
929,Wilson,BLX Six-One Lite,102,27.0,268,34.8,292,70,37,11,12.9,172,61LBLX,RCWILSON,,racquetA,
930,Wilson,BLX Pro Tour,96,27.0,330,32.0,319,61,39,13,11.9,140,PTBLX,RCWILSON,,racquetA,
931,Wilson,Blade 98 (16x19) / 2013 ,98,27.0,290,34.4,338,69,42,18,14.3,150,BLD9816,RCWILSON,,racquetA,
932,Wilson,BLX Pro Staff Six.One 90,90,27.0,354,31.7,324,66,41,16,13.2,142,WPS90,RCWILSON,,racquetA,
933,Wilson,Blade 104 V8,104,27.5,306,33.0,317,60,40,16,14.4,133,104BV8,RCWILSON,,racquetA,x
934,Wilson,BLX Juice 100,100,27.0,320,31.9,306,73,40,15,14.5,173,WJ100,RCWILSON,,racquetA,
935,Wilson,BLX Tempest Four,110,27.25,242,38.5,299,68,37,12,15.7,174,WT4BLX,RCWILSON,,racquetA,
936,Wilson,BLX Six.One 95 18x20 (2012),95,27.0,347,32.0,334,67,42,17,14.1,144,WSO95C,RCWILSON,,racquetA,
937,Wilson,BLX Surge,100,27.0,290,33.4,297,70,37,11,12.0,167,WSBLX,RCWILSON,,racquetA,
938,Wilson,BLX One,118,27.5,277,37.3,329,74,42,20,18.5,181,WOB,RCWILSON,,racquetA,
939,Wilson,BLX Pro Open,100,27.0,316,33.1,323,67,39,16,14.4,159,POBLX,RCWILSON,,racquetA,
940,Wilson,BLX Pro Open (2012),100,27.0,313,33.3,317,72,41,16,14.8,166,WPOB,RCWILSON,,racquetA,
941,Wilson,BLX Six-One Tour ,90,27.0,351,31.5,329,63,40,15,12.6,141,61TBLX,RCWILSON,,racquetA,
942,Wilson,BLX Tour 2012,95,27.25,301,35.2,331,65,42,17,13.6,144,WTB,RCWILSON,,racquetA,
943,Wilson,BLX Blade Lite,100,27.0,282,34.2,301,66,38,11,13.4,148,WBLXBL,RCWILSON,,racquetA,
944,Wilson,Blade 98 (18x20) CV,98,27.0,324,33.5,332,65,42,17,14.3,142,B9818C,RCWILSON,,racquetA,x
945,Wilson,BLX Stratus Three,115,27.5,274,37.9,326,35,41,18,19.1,139,WSTBLX,RCWILSON,,racquetA,
946,Wilson,BLX Cirrus One,118,27.5,281,37.2,342,76,42,20,18.9,182,COBLX,RCWILSON,,racquetA,
947,Wilson,BLX Tour,95,27.0,305,35.0,344,63,42,16,11.6,143,WPTBLX,RCWILSON,,racquetA,
948,Wilson,BLX Tidal Wave,105,27.25,281,32.7,282,60,35,8,10.8,146,WTWBLX,RCWILSON,,racquetA,
949,Wilson,BLX Coral Reef,110,27.25,284,34.4,303,66,39,15,15.4,162,WBLXC,RCWILSON,,racquetA,
950,Wilson,BLX Pro Limited 110,110,27.5,265,36.8,303,65,39,15,16.7,158,WPLTDB,RCWILSON,,racquetA,
951,Wilson,Blade 100L,100,27.0,286,34.0,316,69,40,16,14.4,158,WB100R,RCWILSON,,racquetA,x
952,Wilson,BLX Juice 108,108,27.25,294,34.5,317,72,41,17,15.7,172,WJ108,RCWILSON,,racquetA,
953,Wilson,Blade 98S,98,27.0,334,32.8,329,63,42,17,14.1,137,BLD98S,RCWILSON,,racquetA,
954,Wilson,BLX Pro Staff Six.One 100 ,100,27.25,303,33.3,302,67,39,14,13.9,152,WPS100,RCWILSON,,racquetA,
955,Wilson,BLX Six.One Team (2012),95,27.0,303,33.8,315,65,40,16,13.1,148,WSOT,RCWILSON,,racquetA,
956,Wilson,Blade 98S (2015),98,27.0,310,34.2,330,64,42,17,13.8,138,B98GS,RCWILSON,,racquetA,
957,Wilson,BLX Six.One Team,95,27.0,303,33.3,312,61,39,13,10.3,141,61TMBX,RCWILSON,,racquetA,
958,Wilson,BLX Six.One 95 18x20,95,27.0,341,31.4,324,67,40,14,10.9,147,61BX18,RCWILSON27,,racquetA,
959,Wilson,Blade 100 V7,100,27.0,318,33.5,329,62,42,17,14.3,130,WB100,RCWILSON,,racquetA,x
960,Wilson,Blade 98 16x19 v7 Reverse,98,27.0,323,33.0,328,62,41,16,13.7,133,WB98REV,RCWILSON,,racquetA,x
961,Wilson,BLX Six.One 95 16x18,95,27.0,350,32.1,339,68,43,18,14.2,145,WSO95O,RCWILSON,,racquetA,
962,Wilson,BLX Pro Staff Six.One 95,95,27.0,326,32.1,303,64,39,14,13.6,144,WPS95,RCWILSON,,racquetA,
963,Wilson,BLX Six-One 95 16x18,95,27.0,345,31.8,338,68,41,16,11.5,150,6195BX,RCWILSON,,racquetA,
964,Wilson,Blade 98 (16x19) (2015),98,27.0,329,34.2,343,69,43,18,14.5,146,B98G16,RCWILSON,,racquetA,
965,Wilson,Blade 98 (18x20 ) (2015),98,27.0,322,33.7,333,64,42,16,14.2,140,B98GR,RCWILSON,,racquetA,
966,Wilson,BLX Steam 100,100,27.25,301,33.6,306,68,39,14,12.5,156,WS100,RCWILSON,,racquetA,
967,Wilson,Blade 98 16x19 v8,98,27.0,320,32.6,320,61,41,16,13.3,135,16BV8R,RCWILSON,,racquetA,x
968,Wilson,Blade 98S (18x16) CV,98,27.0,310,34.0,323,66,41,17,14.1,146,B98S,RCWILSON,,racquetA,x
969,Wilson,Blade 104 v7,104,27.5,306,33.0,321,60,41,17,15.2,127,WB104R,RCWILSON,,racquetA,x
970,Wilson,Blade 18x20 v8,98,27.0,323,33.0,327,60,41,17,14.4,135,20BV8S,RCWILSON,,racquetA,x
971,Wilson,Blade 98 (16x19) CV,98,27.0,318,33.2,318,65,40,15,14.0,144,B9816C,RCWILSON,,racquetA,x
972,Wilson,Blade 93 / 2013 ,93,27.0,292,32.0,323,68,40,16,14.0,150,BLD93,RCWILSON,,racquetA,
973,Wilson,Blade 104,104,27.5,310,33.2,323,65,41,17,16.3,144,BL104,RCWILSON,,racquetA,x
974,Wilson,Blade 104 / 2013 ,104,27.5,262,33.2,303,60,38,14,14.2,138,BLD104,RCWILSON,,racquetA,
975,Wilson,Blade 98 16x19 v6,98,27.0,320,33.3,327,67,42,17,14.2,148,BL98V,RCWILSON,,racquetA,x
976,Wilson,Blade 98 (18x20) / 2013 ,98,27.0,281,33.5,328,64,41,15,13.6,137,B9818,RCWILSON,,racquetA,
977,Wilson,Blade 98 (16x19),98,27.0,323,33.0,328,62,41,16,13.7,133,WB98R,RCWILSON,,racquetA,x
978,Wilson,Blade 98 (18x20),98,27.0,323,33.0,334,62,42,17,14.3,132,WB9882,RCWILSON,,racquetA,x
979,Wilson,Burn 95,95,27.25,331,33.6,337,70,43,17,14.1,152,B95,RCWILSON,,racquetA,
980,Wilson,Burn 100 S Countervail,100,27.0,324,33.3,324,71,41,17,15.9,159,B1HSCV,RCWILSON,,racquetA,x
981,Wilson,Burn 100 LS (2017),100,27.0,293,33.6,301,69,39,14,14.3,163,B100LS,RCWILSON,,racquetA,x
982,Wilson,Burn 100 LS CAMO,100,27.0,293,33.6,301,69,39,14,14.3,163,B100LSC,RCWILSON,,racquetA,x
983,Wilson,Burn 100 LS,100,27.0,302,35.0,320,72,41,16,14.1,164,B1HLS,RCWILSON,,racquetA,
984,Wilson,Burn 100 Team (2017),100,27.0,286,34.0,293,63,38,12,13.3,147,BTEAM,RCWILSON,,racquetA,x
985,Wilson,Envy 100 L,110,27.0,282,34.1,286,62,37,11,13.1,142,NV110L,RCWILSON,,racquetA,
986,Wilson,Clash 100 Pro Silver,100,27.0,326,31.5,322,55,40,15,14.4,118,WCC1PS,RCWILSON,,racquetA,x
987,Wilson,Burn FST 95,95,27.0,338,32.7,326,72,42,17,14.6,158,BFST95,RCWILSON,,racquetA,
988,Wilson,Envy 110 UL,110,27.5,260,38.9,317,73,41,18,17.8,198,NV110U,RCWILSON,,racquetA,
989,Wilson,Burn 100 S,100,27.0,316,34.1,316,75,41,16,14.4,178,B1HS,RCWILSON,,racquetA,
990,Wilson,Clash 100L,100,27.0,292,32.5,300,54,38,14,13.4,120,WC100L,RCWILSON,,racquetA,x
991,Wilson,Clash 98,98,27.0,326,31.5,326,55,41,15,13.9,120,WC98R,RCWILSON,,racquetA,x
992,Wilson,Clash 108,108,27.25,295,34.5,312,56,40,16,15.7,127,WC108R,RCWILSON,,racquetA,x
993,Wilson,Juice 100L,100,27.0,294,35.4,327,73,42,18,15.6,169,J100L,RCWILSON,,racquetA,
994,Wilson,Clash 100S,100,27.0,309,32.0,317,54,40,14,13.5,117,WC100S,RCWILSON,,racquetA,x
995,Wilson,Burn 100,100,27.0,322,34.2,337,75,43,19,15.7,175,B1H,RCWILSON,,racquetA,
996,Wilson,Pro Staff 97 LS,97,27.0,307,33.5,313,65,40,15,13.9,149,PS97LS,RCWILSON,,racquetA,
997,Wilson,Burn 100 Countervail,100,27.0,314,33.0,310,70,40,15,14.8,163,B100CV,RCWILSON,,racquetA,x
998,Wilson,Hyper Hammer 6.3 OS,110,27.5,268,35.9,314,56,38,14,15.6,127,63OS,RCWILSON,,racquetA,
999,Wilson,Clash 100 Reverse,100,27.0,312,32.0,312,55,40,15,14.6,121,WCLAREV,RCWILSON,,racquetA,x
1000,Wilson,Burn FST 99S,99,27.0,317,32.0,304,74,39,14,14.1,131,BFST99S,RCWILSON,,racquetA,
1001,Wilson,Burn 95 Countervail,95,27.25,334,33.5,350,70,44,19,14.6,155,B95CV,RCWILSON,,racquetA,x
1002,Wilson,Blade SW 104,104,28.0,319,33.5,334,67,42,17,14.7,144,B104CV,RCWILSON,,racquetA,x
1003,Wilson,Clash 100 Silver,100,27.0,312,32.0,312,55,40,15,14.6,121,WRC10SI,RCWILSON,,racquetA,x
1004,Wilson,Burn 100 ULS,100,27.0,277,35.1,298,71,38,13,14.1,163,B1HULS,RCWILSON,,racquetA,
1005,Wilson,Clash 100L Silver,100,27.0,292,32.5,300,54,38,14,13.4,120,WRC1LS,RCWILSON,,racquetA,x
1006,Wilson,KTour Team.FX,102,27.25,293,34.2,314,63,39,14,12.3,143,KTTFX,RCWILSON,,racquetA,
1007,Wilson,N Fury OS,110,27.0,268,35.2,291,67,37,12,13.5,152,NFURY,RCWILSON,,racquetA,
1008,Wilson,Clash 100,100,27.0,312,32.0,312,55,40,15,14.6,121,WC100R,RCWILSON,,racquetA,x
1009,Wilson,Burn 100 ULS (2017),100,27.0,281,34.1,288,67,37,12,14.0,158,BULS1H,RCWILSON,,racquetA,x
1010,Wilson,Clash 100 Tour,100,27.0,326,31.5,322,55,40,15,14.4,118,WCTR,RCWILSON,,racquetA,x
1011,Wilson,KZen MP,103,27.25,320,33.3,333,71,41,16,15.1,162,KZEN,RCWILSON,,racquetA,
1012,Wilson,Pro Staff 6.0 85,85,27.0,362,31.0,323,65,41,16,12.3,141,W6085,RCWilson,,racquetA,
1013,Wilson,KThree OS,115,27.5,269,37.5,311,43,40,15,16.9,97,KTHREE,RCWILSON,,racquetA,
1014,Wilson,Burn 100 Team,100,27.0,286,34.3,290,61,37,12,13.4,140,B1HT,RCWILSON,,racquetA,
